,Company Name,Industry,Symbol,Series,ISIN Code,BSE_CODES
72,GHCL Ltd.,CHEMICALS,GHCL,EQ,INE539A01019,500171
73,GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR,EQ,INE541A01023,505255
74,Galaxy Surfactants Ltd.,CHEMICALS,GALAXYSURF,EQ,INE600K01018,540935
75,Garden Reach Shipbuilders & Engineers Ltd.,INDUSTRIAL MANUFACTURING,GRSE,EQ,INE382Z01011,542011
76,Garware Technical Fibres Ltd.,TEXTILES,GARFIBRES,EQ,INE276A01018,509557
77,Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028,500163
78,Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020,532482
79,Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025,509488
80,Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,EQ,INE017A01032,500620
81,Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,EQ,INE224A01026,501455
82,Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,EQ,INE536A01023,506076
83,Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI,EQ,INE186A01019,530001
84,Gujarat Ambuja Exports Ltd.,CONSUMER GOODS,GAEL,EQ,INE036B01030,524226
85,Gujarat Fluorochemicals Ltd.,CHEMICALS,FLUOROCHEM,EQ,INE09N301011,542812
86,Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,EQ,INE131A01031,532181
87,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,EQ,INE113A01013,500670
88,Gujarat Pipavav Port Ltd.,SERVICES,GPPL,EQ,INE517F01014,533248
89,Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025,500690
90,Gulf Oil Lubricants India Ltd.,OIL & GAS,GULFOILLUB,EQ,INE635Q01029,538567
91,H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,EQ,INE545A01016,509631
92,HFCL Ltd.,TELECOM,HFCL,EQ,INE548A01028,500183
93,Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY,EQ,INE982F01036,533162
94,HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,EQ,INE578A01017,500292
